\fixlen = T
\RowsRetrieved = 57
\ORIGIN = 'IPAC Infrared Science Archive (IRSA), Caltech/JPL'
\DATETIME = '2017-04-24 13:43:48'
\DataTag = 'ADS/.Gator'
\DATABASE = 'NEOWISE-R Public Single Exposure (L1b) Source Table (neowiser_q1bs_psd)'
\EQUINOX = 'J2000'
\SKYAREA = 'within 3 arcsec of  ra=237.82080 dec=-15.75092 Eq J2000 '
\StatusFile = '/workspace/TMP_f1MxKG_27365/Gator/irsa/1802/log.1802.html'
\SQL = 'SELECT (19 column names follow in next row.)'
\source = /hydra/workarea/irsaviewer/temp_files/IpacTableFromSource6371654060807242007.tbl
\sortInfo = ASC,mjd
\ 
\ 
\ ra (deg)
\ ___ right ascension (J2000)
\ dec (deg)
\ ___ declination (J2000)
\ frame_num
\ ___ frame number
\ scan_id
\ ___ scan ID
\ src
\ ___ source number in frame
\ w1mpro (mag)
\ ___ instrumental profile-fit photometry magnitude, band 1
\ w1sigmpro (mag)
\ ___ instrumental profile-fit photometry flux uncertainty in mag units, band 1
\ w1rchi2
\ ___ instrumental profile-fit photometry reduced chi^2, band 1
\ w2mpro (mag)
\ ___ instrumental profile-fit photometry magnitude, band 2
\ w2sigmpro (mag)
\ ___ instrumental profile-fit photometry flux uncertainty in mag units, band 2
\ w2rchi2
\ ___ instrumental profile-fit photometry reduced chi^2, band 2
\ nb
\ ___ number of blend components used in each fit
\ cc_flags
\ ___ prioritized artifacts affecting the source in each band
\ qual_frame
\ ___ quality score value for frame
\ saa_sep (deg)
\ ___ distance from frame center to SAA boundary
\ moon_masked
\ ___ flag (0/1) indicating whether frame is within the moon-mask area in each band
\ mjd (mjdate)
\ ___ modified Julian date of the mid-point of the observation of the frame
\ dist (arcsec)
\ ___ Distance between the target position and each source in arcsec.
\ angle (deg)
\ ___ Position Angle in degree.
\ 
\
|ra          |dec         |frame_num |scan_id |src    |w1mpro  |w1sigmpro |w1rchi2    |w2mpro  |w2sigmpro |w2rchi2    |nb   |cc_flags |qual_frame |saa_sep |moon_masked |mjd            |dist           |angle       |ROWID                         |
|double      |double      |int       |char    |int    |double  |double    |double     |double  |double    |double     |i    |char     |int        |double  |char        |double         |double         |double      |int                           |
|deg         |deg         |          |        |       |mag     |mag       |           |mag     |mag       |           |     |         |           |deg     |            |mjdate         |arcsec         |deg         |                              |
|null        |null        |null      |null    |null   |null    |null      |null       |null    |null      |null       |null |null     |null       |null    |null        |null           |null           |null        |                              |
  237.8207704  -15.7511213        139   68437b      48    9.978      0.020   1.302e+00    9.995      0.016   1.208e+00     1      0000          10   60.326           00  57435.67650485        0.731901   188.055159                             29 
  237.8207892  -15.7511452        138   68441b      45   10.097      0.015   1.146e+00   10.091      0.016   1.191e+00     1      0000          10   98.770           00  57435.80753617        0.811584   182.642701                             54 
  237.8207668  -15.7511315        138   68445b      39   10.144      0.017   1.081e+00   10.130      0.016   9.035e-01     1      0000          10   86.125           00  57435.93856738        0.770042   188.591251                             13 
  237.8207719  -15.7511539        139   68445b      40   10.160      0.018   1.153e+00   10.143      0.017   1.146e+00     1      0000          10   85.647           00  57435.93869475        0.847652   186.595573                             14 
  237.8207931  -15.7511553        138   68449b      34    9.953      0.017   1.167e+00    9.958      0.017   1.773e+00     1      0000          10   44.426           00  57436.06972602        0.847418   181.616637                             40 
  237.8208055  -15.7511505         47   68452a      40    9.969      0.016   1.416e+00    9.956      0.016   1.043e+00     1      0000          10   23.587           00  57436.13530534        0.830016   178.684423                             41 
  237.8207676  -15.7511453        139   68453b      30    9.956      0.018   1.624e+00    9.981      0.017   9.753e-01     1      0000          10    8.830           00  57436.20088465        0.818815   187.880142                             55 
  237.8207735  -15.7511541        113   68456a      35    9.988      0.015   2.335e+00   10.003      0.015   9.358e-01     1      0000          10    2.132           00  57436.26633661        0.847747   186.217784                             56 
  237.8207702  -15.7511691        113   68464a      35    9.949      0.020   1.606e+00    9.943      0.016   1.522e+00     1      0000          10   12.779           00  57436.52852234        0.902682   186.568028                             42 
  237.8208138  -15.7511536        114   68468a      41    9.948      0.016   2.632e+00   10.023      0.021   3.400e+00     1      0000          10   55.164           00  57436.65968086        0.842319   176.745835                             28 
  237.8207869  -15.7511435        150   73638a      29   10.018      0.016   1.856e+00   10.071      0.019   1.065e+00     1      0000          10   21.615           00  57606.07760366        0.805877   183.228750                              9 
  237.8207957  -15.7511565         68   73643a      37   10.201      0.017   1.090e+00   10.222      0.019   1.202e+00     1      0000          10   63.907           00  57606.20863419        0.851533   181.002521                             10 
  237.8207869  -15.7511413        125   73645a      43   10.104      0.019   9.074e-01   10.117      0.018   1.266e+00     1      0000          10   83.740           00  57606.27408578        0.797973   183.260779                             51 
  237.8207624  -15.7511538        150   73646a      32    9.967      0.018   1.007e+00   10.000      0.016   1.232e+00     1      0000          10  101.335           00  57606.33966472        0.851705   188.798554                             26 
  237.8207690  -15.7511365        125   73649a      38    9.978      0.017   1.309e+00    9.978      0.024   6.584e-01     1      0000          10  102.122           00  57606.40511631        0.786766   187.846529                             27 
  237.8207928  -15.7511655        149   73650a      28   10.000      0.018   8.360e-01    9.951      0.018   8.118e-01     1      0000          10   82.396           00  57606.47056794        0.884151   181.616838                             52 
  237.8208128  -15.7511595        150   73650a      38    9.931      0.025   3.526e-01    9.955      0.017   7.846e-01     1      0000          10   82.591           00  57606.47069530        0.863338   177.055425                             38 
  237.8207735  -15.7511421         67   73653a      39    9.981      0.016   1.102e+00    9.989      0.015   1.004e+00     1      0000          10   61.908           00  57606.53614693        0.804816   186.550883                             11 
  237.8208139  -15.7511672        125   73657a      44   10.092      0.015   1.470e+00   10.069      0.020   9.298e-01     1      0000          10   20.490           00  57606.66717747        0.891223   176.902270                             39 
  237.8207681  -15.7511664        125   73661a      50   10.140      0.015   6.197e-01   10.149      0.016   9.567e-01     1      0000          10    0.623           00  57606.79820810        0.893901   187.102611                             12 
  237.8207812  -15.7511504         64   73823a      37   10.270      0.018   7.278e-01   10.310      0.039   8.298e-01     1      0000          10   30.095           11  57612.10476315        0.831994   184.490406                             25 
